GSRT,TCRR,TSR,TUE,ablation,benchmark,benchmark_adapter_mode,contaminated_artifact_count,contract_violation_rate,cost_per_successful_task,dead_letter_rate,domain,extra_llm_calls,extra_tool_calls,fault_class_counts,fault_propagation_depth,fault_rate,max_concurrency,mean_time_to_detect_ms,mean_time_to_recover_ms,method,p50_latency_ms,p95_latency_ms,p99_latency_ms,policy_compliance,recovery_action_counts,recovery_success_rate,retry_amplification_factor,silent_failure_rate,source,stress,suite_run,task_success,task_success_rate,throughput_tasks_per_min,total_tasks,trace_event_count
5.0,0.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,airline,24,24,{},0,0.0,1,0,0,retry_only,20433,20540,20778,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_airline_c1_f0p0_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_airline_c1_f0p0_schema_drift,stale",0.0,0.0,2.978061612785811,12,0
5.166666666666667,0.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,airline,24,26,{},0,0.1,1,0,0,retry_only,20548,20807,21044,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_airline_c1_f0p1_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_airline_c1_f0p1_schema_drift,stale",0.0,0.0,2.9142718368007774,12,0
5.083333333333333,0.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,airline,24,25,{},0,0.0,5,0,0,retry_only,21668,21843,21848,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_airline_c5_f0p0_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_airline_c5_f0p0_schema_drift,stale",0.0,0.0,2.7809750407490093,12,0
5.333333333333333,0.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,airline,24,28,{},0,0.1,5,0,0,retry_only,21496,21850,21898,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_airline_c5_f0p1_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_airline_c5_f0p1_schema_drift,stale",0.0,0.0,2.7851920622026225,12,0
6.25,1.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,retail,24,39,{},0,0.0,1,0,0,retry_only,20799,20933,20936,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_retail_c1_f0p0_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_retail_c1_f0p0_schema_drift,stale",0.0,0.0,2.9385955961879886,12,0
6.583333333333333,1.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,retail,24,43,{},0,0.1,1,0,0,retry_only,20831,20849,20850,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_retail_c1_f0p1_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_retail_c1_f0p1_schema_drift,stale",0.0,0.0,2.8918449971081546,12,0
6.083333333333333,1.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,retail,24,37,{},0,0.0,5,0,0,retry_only,21714,21945,21955,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_retail_c5_f0p0_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_retail_c5_f0p0_schema_drift,stale",0.0,0.0,2.7821570991375313,12,0
6.166666666666667,1.0,0.0,0.0,,agentchange,external,0,0.0,0.0,1.0,retail,24,38,{},0,0.1,5,0,0,retry_only,21777,22076,22138,1.0,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/agentchange_retail_c5_f0p1_schema_drift,stale.jsonl","schema_drift,stale_context,duplicate_message","agentchange_retail_c5_f0p1_schema_drift,stale",0.0,0.0,2.7862375344893637,12,0
3.3333333333333335,1.0,0.0,0.34725,,tau3,external,0,0.0,0.0,1.0,airline,24,5,{},0,0.0,1,0,0,retry_only,20063,20243,20265,0.8333333333333334,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c1_f0p0_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c1_f0p0_tool_timeout,parti",0.0,0.0,3.0190071659489535,12,0
4.166666666666667,1.0,0.0,0.3334166666666667,,tau3,external,0,0.0,0.0,1.0,airline,24,14,{},0,0.1,1,0,0,retry_only,20279,20767,22325,0.8333333333333334,{},0.0,3.0,0.0,"experiments/results/main/real_full_v2/tau3_airline_c1_f0p1_tool_timeout,parti.jsonl","tool_timeout,partial_response,schema_drift,stale_context,duplicate_message","tau3_airline_c1_f0p1_tool_timeout,parti",0.0,0.0,2.9488014350833653,12,0
