ablation,benchmark,concurrency,domain,fault_rate,method,metric,value
,agentchange,1,airline,0.0,adagentflow_rt,p95_latency_ms,200
,agentchange,1,airline,0.0,retry_only,p95_latency_ms,200
,agentchange,1,airline,0.0,schema_only,p95_latency_ms,200
,agentchange,1,airline,0.0,vanilla,p95_latency_ms,200
without_bounded_recovery,agentchange,1,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_contract_monitor,agentchange,1,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_event_trace,agentchange,1,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_fault_localizer,agentchange,1,airline,0.0,adagentflow_rt,p95_latency_ms,200
,agentchange,1,airline,0.1,adagentflow_rt,p95_latency_ms,200
,agentchange,1,airline,0.1,retry_only,p95_latency_ms,200
,agentchange,1,airline,0.1,schema_only,p95_latency_ms,200
,agentchange,1,airline,0.1,vanilla,p95_latency_ms,200
without_bounded_recovery,agentchange,1,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_contract_monitor,agentchange,1,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_event_trace,agentchange,1,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_fault_localizer,agentchange,1,airline,0.1,adagentflow_rt,p95_latency_ms,200
,agentchange,5,airline,0.0,adagentflow_rt,p95_latency_ms,200
,agentchange,5,airline,0.0,retry_only,p95_latency_ms,200
,agentchange,5,airline,0.0,schema_only,p95_latency_ms,200
,agentchange,5,airline,0.0,vanilla,p95_latency_ms,200
without_bounded_recovery,agentchange,5,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_contract_monitor,agentchange,5,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_event_trace,agentchange,5,airline,0.0,adagentflow_rt,p95_latency_ms,200
without_fault_localizer,agentchange,5,airline,0.0,adagentflow_rt,p95_latency_ms,200
,agentchange,5,airline,0.1,adagentflow_rt,p95_latency_ms,200
,agentchange,5,airline,0.1,retry_only,p95_latency_ms,200
,agentchange,5,airline,0.1,schema_only,p95_latency_ms,200
,agentchange,5,airline,0.1,vanilla,p95_latency_ms,200
without_bounded_recovery,agentchange,5,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_contract_monitor,agentchange,5,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_event_trace,agentchange,5,airline,0.1,adagentflow_rt,p95_latency_ms,200
without_fault_localizer,agentchange,5,airline,0.1,adagentflow_rt,p95_latency_ms,200
,agentchange,1,retail,0.0,adagentflow_rt,p95_latency_ms,200
,agentchange,1,retail,0.0,retry_only,p95_latency_ms,200
