benchmark,domain,method,TSR,TUE,TCRR,GSRT,recovery_success_rate,mean_time_to_recover_ms
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,airline,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,retry_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,schema_only,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,vanilla,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
agentchange,retail,adagentflow_rt,0.0,0.0,1.0,2.0,0.0,0
