benchmark,domain,method,ablation,benchmark_adapter_mode,task_success,task_success_rate,p95_latency_ms,dead_letter_rate,recovery_success_rate,cost_per_successful_task
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.5,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.4444444444444444,7.333333333333333
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.42857142857142855,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.42857142857142855,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.4,7.833333333333333
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.2727272727272727,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.2727272727272727,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.2727272727272727,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.5,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5555555555555556,7.333333333333333
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.42857142857142855,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.42857142857142855,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.42857142857142855,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5,8.0
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.2727272727272727,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.2727272727272727,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.2727272727272727,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.5,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.5,5.666666666666667
tau3,airline,adagentflow_rt,,mock,0.5,0.5,200,0.5,0.5555555555555556,7.333333333333333
tau3,airline,retry_only,,mock,0.4166666666666667,0.4166666666666667,200,0.5833333333333334,0.0,7.2
tau3,airline,schema_only,,mock,0.5,0.5,200,0.5,0.0,4.333333333333333
tau3,airline,vanilla,,mock,0.25,0.25,200,0.8333333333333334,0.0,11.0
tau3,airline,adagentflow_rt,without_bounded_recovery,mock,0.5,0.5,200,0.5,0.42857142857142855,4.666666666666667
tau3,airline,adagentflow_rt,without_contract_monitor,mock,0.3333333333333333,0.3333333333333333,200,0.6666666666666666,0.0,6.0
tau3,airline,adagentflow_rt,without_event_trace,mock,0.5,0.5,200,0.5,0.42857142857142855,5.666666666666667
tau3,airline,adagentflow_rt,without_fault_localizer,mock,0.5,0.5,200,0.5,0.42857142857142855,5.666666666666667
