benchmark,domain,method,ablation,contract_violation_rate,silent_failure_rate,retry_amplification_factor,extra_tool_calls,extra_llm_calls,fault_propagation_depth,contaminated_artifact_count,mean_time_to_detect_ms,mean_time_to_recover_ms,trace_event_count
agentchange,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,airline,retry_only,,0.0,0.0,3.0,12,12,0,0,0,0,0
agentchange,airline,schema_only,,1.0,0.0,1.0,11,6,0,0,0,0,0
agentchange,airline,vanilla,,0.0,0.0,1.0,19,6,0,0,0,0,0
agentchange,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,airline,retry_only,,0.0,0.0,3.0,12,12,0,0,0,0,0
agentchange,airline,schema_only,,1.0,0.0,1.0,8,6,0,0,0,0,0
agentchange,airline,vanilla,,0.0,0.0,1.0,31,6,0,0,0,0,0
agentchange,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,airline,retry_only,,0.0,0.0,3.0,16,12,0,0,0,0,0
agentchange,airline,schema_only,,1.0,0.0,1.0,10,6,0,0,0,0,0
agentchange,airline,vanilla,,0.0,0.0,1.0,19,6,0,0,0,0,0
agentchange,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,airline,retry_only,,0.0,0.0,3.0,19,12,0,0,0,0,0
agentchange,airline,schema_only,,1.0,0.0,1.0,9,6,0,0,0,0,0
agentchange,airline,vanilla,,0.0,0.0,1.0,22,6,0,0,0,0,0
agentchange,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,retail,retry_only,,0.0,0.0,3.0,25,12,0,0,0,0,0
agentchange,retail,schema_only,,1.0,0.0,1.0,14,6,0,0,0,0,0
agentchange,retail,vanilla,,0.0,0.0,1.0,28,6,0,0,0,0,0
agentchange,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,retail,retry_only,,0.0,0.0,3.0,20,12,0,0,0,0,0
agentchange,retail,schema_only,,1.0,0.0,1.0,12,6,0,0,0,0,0
agentchange,retail,vanilla,,0.0,0.0,1.0,32,6,0,0,0,0,0
agentchange,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,retail,retry_only,,0.0,0.0,3.0,17,12,0,0,0,0,0
agentchange,retail,schema_only,,1.0,0.0,1.0,13,6,0,0,0,0,0
agentchange,retail,vanilla,,0.0,0.0,1.0,34,6,0,0,0,0,0
agentchange,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
agentchange,retail,retry_only,,0.0,0.0,3.0,21,12,0,0,0,0,0
agentchange,retail,schema_only,,1.0,0.0,1.0,15,6,0,0,0,0,0
agentchange,retail,vanilla,,0.0,0.0,1.0,28,6,0,0,0,0,0
tau3,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,airline,retry_only,,0.0,0.0,3.0,2,12,0,0,0,0,0
tau3,airline,schema_only,,1.0,0.0,1.0,2,6,0,0,0,0,0
tau3,airline,vanilla,,0.0,0.0,1.0,2,6,0,0,0,0,0
tau3,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,airline,retry_only,,0.0,0.0,3.0,8,12,0,0,0,0,0
tau3,airline,schema_only,,1.0,0.0,1.0,4,6,0,0,0,0,0
tau3,airline,vanilla,,0.0,0.0,1.0,1,6,0,0,0,0,0
tau3,airline,adagentflow_rt,without_bounded_recovery,1.0,0.0,1.0,0,6,0,0,0,0,18
tau3,airline,adagentflow_rt,without_contract_monitor,0.0,0.0,1.0,3,0,0,0,0,0,6
tau3,airline,adagentflow_rt,without_event_trace,1.0,0.0,1.0,0,12,0,0,0,0,0
tau3,airline,adagentflow_rt,without_fault_localizer,1.0,0.0,1.0,0,12,0,0,0,0,30
tau3,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,airline,retry_only,,0.0,0.0,3.0,10,12,0,0,0,0,0
tau3,airline,schema_only,,1.0,0.0,1.0,0,6,0,0,0,0,0
tau3,airline,vanilla,,0.0,0.0,1.0,0,6,0,0,0,0,0
tau3,airline,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,airline,retry_only,,0.0,0.0,3.0,5,12,0,0,0,0,0
tau3,airline,schema_only,,1.0,0.0,1.0,2,6,0,0,0,0,0
tau3,airline,vanilla,,0.0,0.0,1.0,1,6,0,0,0,0,0
tau3,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,retail,retry_only,,0.0,0.0,3.0,9,12,0,0,0,0,0
tau3,retail,schema_only,,1.0,0.0,1.0,6,6,0,0,0,0,0
tau3,retail,vanilla,,0.0,0.0,1.0,24,6,0,0,0,0,0
tau3,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,retail,retry_only,,0.0,0.0,3.0,12,12,0,0,0,0,0
tau3,retail,schema_only,,1.0,0.0,1.0,5,6,0,0,0,0,0
tau3,retail,vanilla,,0.0,0.0,1.0,17,6,0,0,0,0,0
tau3,retail,adagentflow_rt,without_bounded_recovery,1.0,0.0,1.0,0,6,0,0,0,0,18
tau3,retail,adagentflow_rt,without_contract_monitor,0.0,0.0,1.0,9,0,0,0,0,0,6
tau3,retail,adagentflow_rt,without_event_trace,1.0,0.0,1.0,0,12,0,0,0,0,0
tau3,retail,adagentflow_rt,without_fault_localizer,1.0,0.0,1.0,0,12,0,0,0,0,30
tau3,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,retail,retry_only,,0.0,0.0,3.0,18,12,0,0,0,0,0
tau3,retail,schema_only,,1.0,0.0,1.0,3,6,0,0,0,0,0
tau3,retail,vanilla,,0.0,0.0,1.0,10,6,0,0,0,0,0
tau3,retail,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,retail,retry_only,,0.0,0.0,3.0,10,12,0,0,0,0,0
tau3,retail,schema_only,,1.0,0.0,1.0,4,6,0,0,0,0,0
tau3,retail,vanilla,,0.0,0.0,1.0,22,6,0,0,0,0,0
tau3,telecom,adagentflow_rt,,1.0,0.0,1.0,0,12,0,0,0,0,36
tau3,telecom,retry_only,,0.0,0.0,3.0,15,12,0,0,0,0,0
tau3,telecom,schema_only,,1.0,0.0,1.0,17,6,0,0,0,0,0
tau3,telecom,vanilla,,0.0,0.0,1.0,17,6,0,0,0,0,0
